GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
web-Google,Vectorized,48,6,103,3169,0.979349,1.06924,0.40929,1.47853,1e-06,4
com-orkut,Vectorized,48,5,101,30,0.660468,11.375,21.909,33.284,1e-06,4
soc-LiveJournal1,Vectorized,48,6,126,3091,0.748512,28.1945,8.87076,37.0652,1e-06,4
wiki-Talk,Vectorized,48,5,101,2641,0.558494,16.2878,1.14853,17.4363,1e-06,4
web-Stanford,Vectorized,48,9,178,726,0.936474,3.42385,0.31249,3.73634,1e-06,4
cage15,Vectorized,24,7,129,48,0.888691,2.67213,1.36877,4.0409,1e-06,4
uk2002,Vectorized,24,8,176,4017,0.989269,25.2818,3.20524,28.4871,1e-06,4
333SP,Vectorized,24,20,476,184,0.985523,2.28128,1.43783,3.71912,1e-06,4
AS365,Vectorized,24,8,176,174,0.981405,2.25981,1.28632,3.54613,1e-06,4
eu-2005,Vectorized,24,6,104,153,0.938069,2.83307,0.212598,3.04567,1e-06,4
in-2004,Vectorized,24,7,128,802,0.979406,1.02882,0.271109,1.29993,1e-06,4
M6,Vectorized,24,9,178,161,0.980663,2.05591,1.24553,3.30144,1e-06,4
NLR,Vectorized,24,9,178,168,0.981596,2.52708,1.38828,3.91536,1e-06,4
road_usa,Vectorized,24,11,251,1419,0.997934,10.298,13.3912,23.6892,1e-06,4
af_shell10,Vectorized,24,16,376,63,0.958152,1.4199,0.773158,2.19306,1e-06,4
cnr-2000,Vectorized,24,6,126,185,0.912108,0.632891,0.0706685,0.70356,1e-06,4
G_n_pin_pout,Vectorized,24,7,128,61,0.284305,0.122551,0.138637,0.261188,1e-06,4
NACA0015,Vectorized,24,8,176,108,0.972613,0.499059,0.320859,0.819918,1e-06,4
road_central,Vectorized,24,11,251,1037,0.9972,8.0025,8.54251,16.545,1e-06,4
smallworld,Vectorized,24,6,126,211,0.792557,0.0717237,0.0641572,0.135881,1e-06,4
Amazon0505,Vectorized,24,6,104,160,0.888077,0.460363,0.138459,0.598822,1e-06,4
as-skitter,Vectorized,24,6,105,968,0.83868,8.86011,0.441773,9.30189,1e-06,4
ca-HepPh,Vectorized,24,5,101,314,0.660877,0.0188911,0.0233657,0.0422568,1e-06,4
ca-HepTh,Vectorized,24,5,101,470,0.760174,0.00740838,0.00475383,0.0121622,1e-06,4
cit-Patents,Vectorized,24,6,126,3681,0.802671,7.42294,1.62274,9.04568,1e-06,4
